,,,,,,"""@parameter""","""@parameterKey""","""sigdef""","""sigdef""","""sigdef""","""sigdef""","""@rangeLow""","""@rangeHigh""","""@deltaPercent""","""@EU""","""@isarchive""","""@isalarm""","""@alarmtype""","""@prio""","""@active""","""@inactive"""
200,ASMON,160,HI_LOW2,I,Upper/Lower Limit 2,,,,,,,,,,,,,,,,
200,ASMON,50,LV3,I,Limit Value 3,,,,,,,,,,,,,,,,
200,ASMON,170,LSG3,I,Limit Signal Generation 3,,,,,,,,,,,,,,,,
200,ASMON,180,HI_LOW3,I,Upper/Lower Limit 3,,,,,,,,,,,,,,,,
200,ASMON,60,LV4,I,Limit Value 4,,,,,,,,,,,,,,,,
200,ASMON,190,LSG4,I,Limit Signal Generation 4,,,,,,,,,,,,,,,,
200,ASMON,200,HI_LOW4,I,Upper/Lower Limit 4,,,,,,,,,,,,,,,,
200,ASMON,70,LV5,I,Limit Value 5,,,,,,,,,,,,,,,,
200,ASMON,210,LSG5,I,Limit Signal Generation 5,,,,,,,,,,,,,,,,
200,ASMON,220,HI_LOW5,I,Upper/Lower Limit 5,,,,,,,,,,,,,,,,
200,ASMON,80,LV6,I,Limit Value 6,,,,,,,,,,,,,,,,
200,ASMON,230,LSG6,I,Limit Signal Generation 6,,,,,,,,,,,,,,,,
200,ASMON,240,HI_LOW6,I,Upper/Lower Limit 6,,,,,,,,,,,,,,,,
200,ASMON,90,DB,I,Deadband Absolute,,,,,,,,,,,,,,,,
200,ASMON,110,UL,I,Upper Limit,,,,,,,,,,,,,,,,
200,ASMON,120,LL,I,Lower Limit,,,,,,,,,,,,,,,,
200,ASMON,270,EU,I,Engineering Unit,,,,,,,,,,,,,,,,
200,ASMON,250,AL_SUPQ1,I,Alarm Suppression Output Q1,,,,,,,,,,,,,,,,
200,ASMON,300,AL_SUPQ2,I,Alarm Suppression Output Q2,,,,,,,,,,,,,,,,
200,ASMON,310,AL_SUPQ3,I,Alarm Suppression Output Q3,,,,,,,,,,,,,,,,
200,ASMON,320,AL_SUPQ4,I,Alarm Suppression Output Q4,,,,,,,,,,,,,,,,
200,ASMON,330,AL_SUPQ5,I,Alarm Suppression Output Q5,,,,,,,,,,,,,,,,
200,ASMON,340,AL_SUPQ6,I,Alarm Suppression Output Q6,,,,,,,,,,,,,,,,
200,ASMON,20,T1,I,Smoothing Time in seconds,,,,,,,,,,,,,,,,
200,ASMON,100,SUB_V,I,Substitution Value,,,,,,,,,,,,,,,,
200,ASMON,260,SUB_VS,I,Substitution Value Selection,,,,,,,,,,,,,,,,
200,ASMON,280,LS_GQ,I,Limit Signals GOOD Quality,,,,,,,,,,,,,,,,
200,ASMON,1000,OUT,O,Output Value,,,,,,,,,,,,,,,,
200,ASMON,1010,Q1,O,Limit Signal 1,,,,,,,,,,,,,,,,
200,ASMON,1020,Q2,O,Limit Signal 2,,,,,,,,,,,,,,,,
200,ASMON,1030,Q3,O,Limit Signal 3,,,,,,,,,,,,,,,,
200,ASMON,1040,Q4,O,Limit Signal 4,,,,,,,,,,,,,,,,
200,ASMON,1050,Q5,O,Limit Signal 5,,,,,,,,,,,,,,,,
200,ASMON,1060,Q6,O,Limit Signal 6,,,,,,,,,,,,,,,,
200,ASMON,1090,OUT_GQ,O,GOOD Quality Output Value,,,,,,,,,,,,,,,,
200,ASMON,1070,CF,O,Calculation Fault,,,,,,,,,,,,,,,,
200,ASMON,1080,Q_AL,O,Quality Alarm,,,,,,,,,,,,,,,,
201,BSMON,10,IN1,I,Binary Input 1 (NO Contact),,,,,,,,,,,,,,,,
201,BSMON,20,IN2,I,Binary Input 2 (NC Contact),,,,,,,,,,,,,,,,
201,BSMON,30,T_MON,I,Monitor Delay Time (sec),,,,,,,,,,,,,,,,
201,BSMON,40,SUB_VS,I,Substitution Value Selection,,,,,,,,,,,,,,,,
201,BSMON,50,SUBV_OUTN,I,OUTN Substitution Value,,,,,,,,,,,,,,,,
201,BSMON,60,AL_SUP,I,Alarm Suppression,,,,,,,,,,,,,,,,
201,BSMON,1000,OUT,O,Binary Output,,,,,,,,,,,,,,,,
201,BSMON,1010,OUTN,O,Negated Output,,,,,,,,,,,,,,,,
201,BSMON,1050,OUT_GQ,O,GOOD Quality Binary Output,,,,,,,,,,,,,,,,
201,BSMON,1060,OUTN_GQ,O,GOOD Quality Negated Output,,,,,,,,,,,,,,,,
201,BSMON,1020,TRBL_AL,O,Trouble  Alarm,,,,,,,,,,,,,,,,
202,ANA,10,IN,I,Analog Input Value,,,,,,,,,,,,,,,,
202,ANA,20,UL,I,Upper Limit,,,,,,,,,,,,,,,,
202,ANA,30,LL,I,Lower Limit,,,,,,,,,,,,,,,,
202,ANA,40,EU,I,Engineering Units,,,,,,,,,,,,,,,,
202,ANA,1000,OUT,O,Output Value,,,,,,,,,,,,,,,,
202,ANA,1040,OUT_GQ,O,GOOD Quality Output Value,,,,,,,,,,,,,,,,
202,ANA,1010,UL_O,O,Upper Limit,,,,,,,,,,,,,,,,
202,ANA,1020,LL_O,O,Lower Limit,,,,,,,,,,,,,,,,
202,ANA,1030,EU_O,O,Engineering Units,,,,,,,,,,,,,,,,
205,ASEL3,10,IN1,I,Input Value 1,,,,,,,,,,,,,,,,
205,ASEL3,120,BL_IN1,I,Blocking Input Value 1,,,,,,,,,,,,,,,,
205,ASEL3,20,IN2,I,Input Value 2,,,,,,,,,,,,,,,,
205,ASEL3,130,BL_IN2,I,Blocking Input Value 2,,,,,,,,,,,,,,,,
205,ASEL3,30,IN3,I,Input Value 3,,,,,,,,,,,,,,,,
205,ASEL3,140,BL_IN3,I,Blocking Input Value 3,,,,,,,,,,,,,,,,
205,ASEL3,40,MODE,I,Output Mode,,,,,,,,,,,,,,,,
205,ASEL3,90,UL,I,Upper Limit,,,,,,,,,,,,,,,,
205,ASEL3,100,LL,I,Lower Limit,,,,,,,,,,,,,,,,
205,ASEL3,110,EU,I,Engineering  Units,,,,,,,,,,,,,,,,
205,ASEL3,50,DEV_DB,I,Deviation Deadband,,,,,,,,,,,,,,,,
205,ASEL3,60,DB,I,Deadband,,,,,,,,,,,,,,,,
205,ASEL3,70,SUB_V,I,Substitution Value,,,,,,,,,,,,,,,,
205,ASEL3,80,SUB_VS,I,Substitution Value selection,,,,,,,,,,,,,,,,
205,ASEL3,1000,OUT,O,Output  Value,,,,,,,,,,,,,,,,
205,ASEL3,1050,Q_AL1,O,Quality Alarm IN 1,,,,,,,,,,,,,,,,
205,ASEL3,1060,Q_AL2,O,Quality Alarm IN 2,,,,,,,,,,,,,,,,
205,ASEL3,1070,Q_AL3,O,Quality Alarm IN 3,,,,,,,,,,,,,,,,
205,ASEL3,1040,DEV_AL,O,Deviation Alarm,,,,,,,,,,,,,,,,
205,ASEL3,1080,DEV_AL1,O,Deviation Alarm IN1,,,,,,,,,,,,,,,,
205,ASEL3,1090,DEV_AL2,O,Deviation Alarm IN2,,,,,,,,,,,,,,,,
205,ASEL3,1100,DEV_AL3,O,Deviation Alarm IN3,,,,,,,,,,,,,,,,
205,ASEL3,1010,O_MODE,O,Active Output Mode,,,,,,,,,,,,,,,,
205,ASEL3,1020,TRBL_AL,O,Trouble Alarm,,,,,,,,,,,,,,,,
205,ASEL3,1030,OUT_AL,O,Output Quality Alarm,,,,,,,,,,,,,,,,
206,ASEL2,10,IN1,I,Input Value 1,,,,,,,,,,,,,,,,
206,ASEL2,120,BL_IN1,I,Blocking Input Value1,,,,,,,,,,,,,,,,
206,ASEL2,20,IN2,I,Input Value 2,,,,,,,,,,,,,,,,
206,ASEL2,130,BL_IN2,I,Blocking Input Value2,,,,,,,,,,,,,,,,
206,ASEL2,30,MODE,I,Output Mode,,,,,,,,,,,,,,,,
206,ASEL2,80,UL,I,Upper Limit,,,,,,,,,,,,,,,,
206,ASEL2,90,LL,I,Lower Limit,,,,,,,,,,,,,,,,
206,ASEL2,110,EU,I,Engineering  Units,,,,,,,,,,,,,,,,
206,ASEL2,40,DEV_DB,I,Deviation Deadband,,,,,,,,,,,,,,,,
206,ASEL2,50,DB,I,Deadband,,,,,,,,,,,,,,,,
206,ASEL2,60,SUB_V,I,Substitution Value,,,,,,,,,,,,,,,,
206,ASEL2,70,SUB_VS,I,Substitution Value selection,,,,,,,,,,,,,,,,
206,ASEL2,1000,OUT,O,Output  Value,,,,,,,,,,,,,,,,
206,ASEL2,1050,Q_AL1,O,Quality Alarm IN1,,,,,,,,,,,,,,,,
206,ASEL2,1060,Q_AL2,O,Quality Alarm IN2,,,,,,,,,,,,,,,,
206,ASEL2,1040,DEV_AL,O,Deviation Alarm,,,,,,,,,,,,,,,,
206,ASEL2,1010,O_MODE,O,Active Output Mode,,,,,,,,,,,,,,,,
206,ASEL2,1020,TRBL_AL,O,Trouble Alarm,,,,,,,,,,,,,,,,
206,ASEL2,1030,OUT_AL,O,Output Quality Alarm,,,,,,,,,,,,,,,,
207,BIN,10,IN,I,Binary Input Value,,,,,,,,,,,,,,,,
207,BIN,1000,OUT,O,Output Value,,,,,,,,,,,,,,,,
207,BIN,1010,OUT_GQ,O,GOOD Quality Output Value,,,,,,,,,,,,,,,,
250,ASMON_R,10,IN1,I,Input Value 1,,,,,,,,,,,,,,,,
250,ASMON_R,20,IN2,I,Input Value 2,,,,,,,,,,,,,,,,
250,ASMON_R,50,LV1,I,Limit Value 1,,,,,,,,,,,,,,,,
250,ASMON_R,140,LSG1,I,Limit Signal Generation 1,,,,,,,,,,,,,,,,
250,ASMON_R,150,HI_LOW1,I,Higher/Lower Limit 1,,,,,,,,,,,,,,,,
250,ASMON_R,60,LV2,I,Limit Value 2,,,,,,,,,,,,,,,,
250,ASMON_R,160,LSG2,I,Limit Signal Generator 2,,,,,,,,,,,,,,,,
250,ASMON_R,170,HI_LOW2,I,Higher/Lower Limit 2,,,,,,,,,,,,,,,,
250,ASMON_R,70,LV3,I,Limit Value 3,,,,,,,,,,,,,,,,
250,ASMON_R,180,LSG3,I,Limit Signal Generator 3,,,,,,,,,,,,,,,,
250,ASMON_R,190,HI_LOW3,I,Higher/Lower Limit 3,,,,,,,,,,,,,,,,
250,ASMON_R,80,LV4,I,Limit Value 4,,,,,,,,,,,,,,,,
250,ASMON_R,200,LSG4,I,Limit Signal Generator 4,,,,,,,,,,,,,,,,
250,ASMON_R,210,HI_LOW4,I,Higher/Lower Limit 4,,,,,,,,,,,,,,,,
250,ASMON_R,90,LV5,I,Limit Value 5,,,,,,,,,,,,,,,,
250,ASMON_R,220,LSG5,I,Limit Signal Generator 5,,,,,,,,,,,,,,,,
250,ASMON_R,230,HI_LOW5,I,Higher/Lower Limit 5,,,,,,,,,,,,,,,,
250,ASMON_R,100,LV6,I,Limit Value 6,,,,,,,,,,,,,,,,
250,ASMON_R,240,LSG6,I,Limit Signal Generator 6,,,,,,,,,,,,,,,,
250,ASMON_R,250,HI_LOW6,I,Higher/Lower Limit 6,,,,,,,,,,,,,,,,
250,ASMON_R,110,DB,I,Deadband Absolute,,,,,,,,,,,,,,,,
250,ASMON_R,280,UL,I,Upper Limit,,,,,,,,,,,,,,,,
250,ASMON_R,290,LL,I,Lower Limit,,,,,,,,,,,,,,,,
250,ASMON_R,300,EU,I,Engineering Units,,,,,,,,,,,,,,,,
250,ASMON_R,310,AL_SUPQ1,I,Alarm Suppression Output Q1,,,,,,,,,,,,,,,,
250,ASMON_R,320,AL_SUPQ2,I,Alarm Suppression Output Q2,,,,,,,,,,,,,,,,
250,ASMON_R,330,AL_SUPQ3,I,Alarm Suppression Output Q3,,,,,,,,,,,,,,,,
250,ASMON_R,340,AL_SUPQ4,I,Alarm Suppression Output Q4,,,,,,,,,,,,,,,,
250,ASMON_R,350,AL_SUPQ5,I,Alarm Suppression Output Q5,,,,,,,,,,,,,,,,
250,ASMON_R,360,AL_SUPQ6,I,Alarm Suppression Output Q6,,,,,,,,,,,,,,,,
250,ASMON_R,120,DEV_DB,I,Deviation Deadband,,,,,,,,,,,,,,,,
250,ASMON_R,130,T_MON,I,Deviation Monitoring Delay Time (sec,,,,,,,,,,,,,,,,
250,ASMON_R,40,T1,I,Smoothing Time (sec),,,,,,,,,,,,,,,,
250,ASMON_R,30,MINMAX,I,Minimum/Maximum Selection,,,,,,,,,,,,,,,,
250,ASMON_R,260,SUB_V,I,Substitution Value,,,,,,,,,,,,,,,,
250,ASMON_R,270,SUB_VS,I,Substitution Value Selection,,,,,,,,,,,,,,,,
250,ASMON_R,370,LS_GQ,I,Limit Signals GOOD Quality,,,,,,,,,,,,,,,,
250,ASMON_R,1000,OUT,O,Output Value,,,,,,,,,,,,,,,,
250,ASMON_R,1030,Q1,O,Limit Signal 1,,,,,,,,,,,,,,,,
250,ASMON_R,1040,Q2,O,Limit Signal 2,,,,,,,,,,,,,,,,
250,ASMON_R,1050,Q3,O,Limit Signal 3,,,,,,,,,,,,,,,,
250,ASMON_R,1060,Q4,O,Limit Signal 4,,,,,,,,,,,,,,,,
250,ASMON_R,1070,Q5,O,Limit Signal 5,,,,,,,,,,,,,,,,
250,ASMON_R,1080,Q6,O,Limit Signal 6,,,,,,,,,,,,,,,,
250,ASMON_R,1150,OUT_GQ,O,GOOD Quality Output Value,,,,,,,,,,,,,,,,
250,ASMON_R,1010,OUT_IN1,O,Output equal to IN1,,,,,,,,,,,,,,,,
250,ASMON_R,1020,OUT_IN2,O,Output equal to IN2,,,,,,,,,,,,,,,,
250,ASMON_R,1120,Q_AL1,O,Quality Alarm IN1,,,,,,,,,,,,,,,,
250,ASMON_R,1130,Q_AL2,O,Quality Alarm IN2,,,,,,,,,,,,,,,,
250,ASMON_R,1110,DEV_AL,O,Deviation alarm,,,,,,,,,,,,,,,,
250,ASMON_R,1140,CF,O,Calculation Fault,,,,,,,,,,,,,,,,
250,ASMON_R,1090,TRBL_AL,O,Trouble Alarm,,,,,,,,,,,,,,,,
250,ASMON_R,1100,OUT_AL,O,Output Quality Alarm,,,,,,,,,,,,,,,,
251,BSMON_R,10,IN1,I,Binary Input 1,,,,,,,,,,,,,,,,
251,BSMON_R,20,IN2,I,Binary Input 2,,,,,,,,,,,,,,,,
251,BSMON_R,30,T_MON,I,Deviation Monitoring Delay Time (sec,,,,,,,,,,,,,,,,
251,BSMON_R,40,SUB_VS,I,Substitution Value Selection,,,,,,,,,,,,,,,,
251,BSMON_R,50,AL_SUP,I,Alarm Suppression,,,,,,,,,,,,,,,,
251,BSMON_R,1000,OUT,O,Binary Output,,,,,,,,,,,,,,,,
251,BSMON_R,1080,OUT_GQ,O,GOOD Quality Binary Output,,,,,,,,,,,,,,,,
251,BSMON_R,1010,OUT_IN1,O,Output equal to IN1,,,,,,,,,,,,,,,,
251,BSMON_R,1020,OUT_IN2,O,Output equal to IN2,,,,,,,,,,,,,,,,
251,BSMON_R,1060,Q_AL1,O,Quality Alarm IN1,,,,,,,,,,,,,,,,
251,BSMON_R,1070,Q_AL2,O,Quality Alarm IN2,,,,,,,,,,,,,,,,
251,BSMON_R,1050,DEV_AL,O,Deviation Alarm,,,,,,,,,,,,,,,,
251,BSMON_R,1030,TRBL_AL,O,Trouble Alarm,,,,,,,,,,,,,,,,
251,BSMON_R,1040,OUT_AL,O,Output Quality Alarm,,,,,,,,,,,,,,,,
300,PID,10,ER,I,System Deviation,,,,,,,,,,,,,,,,
300,PID,20,DB,I,Deadband,,,,,,,,,,,,,,,,
300,PID,30,DB_OFF,I,Deadband OFF,,,,,,,,,,,,,,,,
300,PID,40,FEEDFWD,I,Feedforward Value,,,,,,,,,,,,,,,,
300,PID,50,TRACK_V,I,Track Value,,,,,,,,,,,,,,,,
300,PID,60,C_TRACK,I,Command Track,,,,,,,,,,,,,,,,
300,PID,70,P_OFF,I,P-content OFF,,,,,,,,,,,,,,,,
300,PID,80,GAIN,I,Gain Factor,,,,,,,,,,,,,,,,
300,PID,90,I_OFF,I,I-content OFF,,,,,,,,,,,,,,,,
300,PID,100,TN,I,Integration Time,,,,,,,,,,,,,,,,
300,PID,110,D_OFF,I,D-content OFF,,,,,,,,,,,,,,,,
300,PID,120,TD,I,Time Difference,,,,,,,,,,,,,,,,
300,PID,130,T1,I,Delay Time,,,,,,,,,,,,,,,,
300,PID,140,UL,I,Upper Limit,,,,,,,,,,,,,,,,
300,PID,150,LL,I,Lower Limit,,,,,,,,,,,,,,,,
300,PID,160,ANTI_W,I,Limitation of I-content,,,,,,,,,,,,,,,,
300,PID,170,EN_UP,I,Enabling UP,,,,,,,,,,,,,,,,
300,PID,180,EN_DOWN,I,Enabling DOWN,,,,,,,,,,,,,,,,
300,PID,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
300,PID,1000,OUT,O,Output Value,,,,,,,,,,,,,,,,
300,PID,1010,OUT_UL,O,Output Upper Limit,,,,,,,,,,,,,,,,
300,PID,1020,OUT_LL,O,Output Lower Limit,,,,,,,,,,,,,,,,
300,PID,1030,TRACK,O,Track Mode,,,,,,,,,,,,,,,,
300,PID,1040,CF,O,Calculation Fault,,,,,,,,,,,,,,,,
302,SPADJ,190,UL,I,Upper Limit,,,,,,,,,,,,,,,,
302,SPADJ,200,LL,I,Lower Limit,,,,,,,,,,,,,,,,
302,SPADJ,210,EU,I,Engineering Units,,,,,,,,,,,,,,,,
302,SPADJ,170,RR_UP,I,Ramp Rate UP in RR_UNIT/BASE,,,,,,,,,,,,,,,,
302,SPADJ,160,RR_DOWN,I,Ramp Rate DOWN in RR_UNIT/BASE,,,,,,,,,,,,,,,,
302,SPADJ,180,RR_UNIT,I,Ramp Rate Unit,,,,,,,,,,,,,,,,
302,SPADJ,370,BASE,I,Time Base,,,,,,,,,,,,,,,,
302,SPADJ,380,TRACK_V,I,Tracking Value,,,,,,,,,,,,,,,,
302,SPADJ,390,C_TRACK,I,Command Tracking,,,,,,,,,,,,,,,,
302,SPADJ,260,EXT_SETP,I,External Setpoint,,,,,,,,,,,,,,,,
302,SPADJ,130,A_EXT,I,Automatic Command EXTERNAL,,,,,,,,,,,,,,,,
302,SPADJ,120,EN_EXT,I,Enabling EXTERNAL,,,,,,,,,,,,,,,,
302,SPADJ,110,A_INT,I,Automatic Command INTERNAL,,,,,,,,,,,,,,,,
302,SPADJ,100,EN_INT,I,Enabling INTERNAL,,,,,,,,,,,,,,,,
302,SPADJ,90,A_UP,I,Automatic Command UP,,,,,,,,,,,,,,,,
302,SPADJ,80,EN_UP,I,Enabling UP,,,,,,,,,,,,,,,,
302,SPADJ,40,A_DOWN,I,Automatic Command DOWN,,,,,,,,,,,,,,,,
302,SPADJ,30,EN_DOWN,I,Enabling DOWN,,,,,,,,,,,,,,,,
302,SPADJ,10,P1_DOWN,I,Protection 1 Command DOWN,,,,,,,,,,,,,,,,
302,SPADJ,20,P2_DOWN,I,Protection 2 Command DOWN,,,,,,,,,,,,,,,,
302,SPADJ,60,P1_UP,I,Protection 1 Command UP,,,,,,,,,,,,,,,,
302,SPADJ,70,P2_UP,I,Protection 2 Command UP,,,,,,,,,,,,,,,,
302,SPADJ,50,A_STOP,I,Automatic Command STOP Moving,,,,,,,,,,,,,,,,
302,SPADJ,140,EXT_FLT,I,External Fault,,,,,,,,,,,,,,,,
302,SPADJ,230,BL_M,I,Blocking Manual Commands,,,,,,,,,,,,,,,,
302,SPADJ,150,A_RESET,I,Automatic Command Operator Response,,,,,,,,,,,,,,,,
302,SPADJ,220,BL_A,I,Blocking Automatic Commands,,,,,,,,,,,,,,,,
302,SPADJ,240,EN_AM,I,Enabling AUTO/MANUAL Mode,,,,,,,,,,,,,,,,
302,SPADJ,250,FP_MODE,I,First Pass Mode,,,,,,,,,,,,,,,,
302,SPADJ,270,START_V,I,Start Value for Setpoint,,,,,,,,,,,,,,,,
302,SPADJ,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
302,SPADJ,1000,OUT,O,Output Value,,,,,,,,,,,,,,,,
302,SPADJ,1040,EXT,O,Status EXTERNAL,,,,,,,,,,,,,,,,
302,SPADJ,1030,INT,O,Status INTERNAL,,,,,,,,,,,,,,,,
302,SPADJ,1250,TRACK,O,TRACK Mode,,,,,,,,,,,,,,,,
302,SPADJ,1190,RESET_P,O,Operator Response,,,,,,,,,,,,,,,,
302,SPADJ,1020,OUT_UL,O,Output Upper Limit,,,,,,,,,,,,,,,,
302,SPADJ,1010,OUT_LL,O,Output Lower Limit,,,,,,,,,,,,,,,,
302,SPADJ,1060,INT_REJ,O,Reject to INTERNAL Mode,,,,,,,,,,,,,,,,
302,SPADJ,1230,TD_UP,O,Travelling Direction UP,,,,,,,,,,,,,,,,
302,SPADJ,1220,TD_DOWN,O,Travelling Direction DOWN,,,,,,,,,,,,,,,,
302,SPADJ,1070,CF,O,Calculation Fault,,,,,,,,,,,,,,,,
302,SPADJ,1080,RESET,O,RESET Impulse,,,,,,,,,,,,,,,,
302,SPADJ,1090,P_DOWN,O,Protection Execution DOWN,,,,,,,,,,,,,,,,
302,SPADJ,1100,P_UP,O,Protection Execution UP,,,,,,,,,,,,,,,,
302,SPADJ,1110,COM,O,COMMISSIONING Mode,,,,,,,,,,,,,,,,
302,SPADJ,1120,AUTO,O,AUTO Mode,,,,,,,,,,,,,,,,
302,SPADJ,1130,MAN,O,MANUAL Mode,,,,,,,,,,,,,,,,
302,SPADJ,1050,TRBL_AL,O,Trouble Alarm,,,,,,,,,,,,,,,,
303,CCTRL,300,ER,I,System Deviation,,,,,,,,,,,,,,,,
303,CCTRL,230,UL,I,Upper Limit,,,,,,,,,,,,,,,,
303,CCTRL,240,LL,I,Lower Limit,,,,,,,,,,,,,,,,
303,CCTRL,250,EU,I,Engineering Units,,,,,,,,,,,,,,,,
303,CCTRL,590,BASE,I,Time Base,,,,,,,,,,,,,,,,
303,CCTRL,480,SCALE_UL,I,Scaling Output Upper Limit,,,,,,,,,,,,,,,,
303,CCTRL,490,SCALE_LL,I,Scaling Output Lower Limit,,,,,,,,,,,,,,,,
303,CCTRL,360,GAIN,I,Gain Factor,,,,,,,,,,,,,,,,
303,CCTRL,400,P_OFF,I,P-Content OFF,,,,,,,,,,,,,,,,
303,CCTRL,370,TN,I,Integration Time (sec),,,,,,,,,,,,,,,,
303,CCTRL,410,I_OFF,I,I-Content OFF,,,,,,,,,,,,,,,,
303,CCTRL,470,BL_IUP,I,Blocking I-Content Direction UP,,,,,,,,,,,,,,,,
303,CCTRL,460,BL_IDOWN,I,Blocking I-Content Direction DOWN,,,,,,,,,,,,,,,,
303,CCTRL,380,TD,I,Time Difference (sec),,,,,,,,,,,,,,,,
303,CCTRL,390,T1,I,Delay Time (sec),,,,,,,,,,,,,,,,
303,CCTRL,420,D_OFF,I,D-Content OFF,,,,,,,,,,,,,,,,
303,CCTRL,340,DB,I,Deadband,,,,,,,,,,,,,,,,
303,CCTRL,350,FEEDFWD,I,Feedforward Value,,,,,,,,,,,,,,,,
303,CCTRL,100,P1_UP,I,Protection 1 Command UP,,,,,,,,,,,,,,,,
303,CCTRL,110,P2_UP,I,Protection 2 Command UP,,,,,,,,,,,,,,,,
303,CCTRL,130,A_UP,I,Automatic Command UP,,,,,,,,,,,,,,,,
303,CCTRL,120,EN_UP,I,Enabling UP,,,,,,,,,,,,,,,,
303,CCTRL,50,P1_DOWN,I,Protection 1 Command DOWN,,,,,,,,,,,,,,,,
303,CCTRL,60,P2_DOWN,I,Protection 2 Command DOWN,,,,,,,,,,,,,,,,
303,CCTRL,80,A_DOWN,I,Automatic Command DOWN,,,,,,,,,,,,,,,,
303,CCTRL,70,EN_DOWN,I,Enabling DOWN,,,,,,,,,,,,,,,,
303,CCTRL,170,A_CL,I,Automatic Command CLOSED LOOP,,,,,,,,,,,,,,,,
303,CCTRL,160,EN_CL,I,Enabling CLOSED LOOP,,,,,,,,,,,,,,,,
303,CCTRL,150,A_OL,I,Automatic Command OPEN LOOP,,,,,,,,,,,,,,,,
303,CCTRL,140,EN_OL,I,Enabling OPEN LOOP,,,,,,,,,,,,,,,,
303,CCTRL,90,A_STOP,I,Automatic Command STOP Moving,,,,,,,,,,,,,,,,
303,CCTRL,450,BL_UP,I,Blocking Closed Loop Direction UP,,,,,,,,,,,,,,,,
303,CCTRL,440,BL_DOWN,I,Blocking Closed Loop Direction DOWN,,,,,,,,,,,,,,,,
303,CCTRL,180,EXT_FLT,I,External Fault,,,,,,,,,,,,,,,,
303,CCTRL,320,C_TRACK,I,Command TRACKING,,,,,,,,,,,,,,,,
303,CCTRL,310,TRACK_V,I,Tracking Value,,,,,,,,,,,,,,,,
303,CCTRL,210,RR_UP,I,Ramp Rate UP in RR_UNIT/BASE,,,,,,,,,,,,,,,,
303,CCTRL,200,RR_DOWN,I,Ramp Rate DOWN in RR_UNIT/BASE,,,,,,,,,,,,,,,,
303,CCTRL,220,RR_UNIT,I,Ramp Rate Unit,,,,,,,,,,,,,,,,
303,CCTRL,270,BL_M,I,Blocking Manual Commands,,,,,,,,,,,,,,,,
303,CCTRL,20,FB_OPEN,I,Feedback OPENED,,,,,,,,,,,,,,,,
303,CCTRL,10,FB_CLOSE,I,Feedback CLOSED,,,,,,,,,,,,,,,,
303,CCTRL,30,FB_NTRBL,I,Feedback Equipment NO TROUBLE,,,,,,,,,,,,,,,,
303,CCTRL,40,FB_LOC,I,Feedback LOCAL Control,,,,,,,,,,,,,,,,
303,CCTRL,190,A_RESET,I,Automatic Command Operator Response,,,,,,,,,,,,,,,,
303,CCTRL,260,BL_A,I,Blocking Automatic Commands,,,,,,,,,,,,,,,,
303,CCTRL,280,EN_AM,I,Enabling AUTO/MANUAL Mode,,,,,,,,,,,,,,,,
303,CCTRL,330,C_ITRACK,I,Command TRACKING I-Content,,,,,,,,,,,,,,,,
303,CCTRL,430,ANTI_W,I,Limitation of I-Content,,,,,,,,,,,,,,,,
303,CCTRL,290,FP_MODE,I,First Pass Mode,,,,,,,,,,,,,,,,
303,CCTRL,20000,QUALITY,I,Quality Processing,,,,,,,,,,,,,,,,
303,CCTRL,1000,OUT,O,Controller Output Value,,,,,,,,,,,,,,,,
303,CCTRL,1040,OPENED,O,Status OPENED,,,,,,,,,,,,,,,,
303,CCTRL,1030,CLOSED,O,Status CLOSED,,,,,,,,,,,,,,,,
303,CCTRL,1060,CL,O,Status CLOSED LOOP,,,,,,,,,,,,,,,,
303,CCTRL,1050,OL,O,Status OPEN LOOP,,,,,,,,,,,,,,,,
303,CCTRL,1290,RESET_P,O,Operator Response,,,,,,,,,,,,,,,,
303,CCTRL,1330,TD_DOWN,O,Travelling Direction DOWN,,,,,,,,,,,,,,,,
303,CCTRL,1340,TD_UP,O,Travelling Direction UP,,,,,,,,,,,,,,,,
303,CCTRL,1130,OL_REJ,O,Reject to OPEN LOOP Mode,,,,,,,,,,,,,,,,
303,CCTRL,1020,OUT_UL,O,Output Upper Limit,,,,,,,,,,,,,,,,
303,CCTRL,1010,OUT_LL,O,Output Lower Limit,,,,,,,,,,,,,,,,
303,CCTRL,1080,UL_SCALE,O,Scaling Output Upper Limit,,,,,,,,,,,,,,,,
303,CCTRL,1090,LL_SCALE,O,Scaling Output Lower Limit,,,,,,,,,,,,,,,,
303,CCTRL,1100,EU_SCALE,O,Scaling Engineering Units,,,,,,,,,,,,,,,,
303,CCTRL,1140,CF,O,Calculation Fault,,,,,,,,,,,,,,,,
303,CCTRL,1150,RESET,O,RESET Impulse,,,,,,,,,,,,,,,,
303,CCTRL,1170,P_UP,O,Protection Execution UP,,,,,,,,,,,,,,,,
303,CCTRL,1160,P_DOWN,O,Protection Execution DOWN,,,,,,,,,,,,,,,,
303,CCTRL,1180,FB_ERR,O,Feedback Error,,,,,,,,,,,,,,,,
303,CCTRL,1190,TRBL,O,Equipment in TROUBLE,,,,,,,,,,,,,,,,
303,CCTRL,1200,LOCAL,O,LOCAL Control,,,,,,,,,,,,,,,,
